Source,Description,Usage
https://gs.statcounter.com/screen-resolution-stats/desktop/worldwide,"The used screen resolution, to browse the web.","The mocks-up will be made with the 1920x1080 resolution, as it is the most used in the Desktop section, which is what we are focussing, and also I have no knowledge of how to optimise a website for mobile phones."
https://git-scm.com/book/en/v2,"Pro Git book, online edition.","I will use git for the version-control of this outcome, so this will help me to understand how it works."
https://docs.github.com/en,Documentation for (using) Github.,"As I will be using Github, for both version-control and project management, this will be really useful to understand how to use it."
https://developer.mozilla.org/en-US/docs/Web#web_technology_references,"Contain detailed documentation of the web technologies used to make websites e.g. HTML, CSS, Javascript, etc.","During the website making process, This will be needed for help with HTML, CSS and other things used to make the website."
https://www.w3schools.com/,"Learning site/Documentation for HTML, CSS, Javascript, etc.","Will be used in conjunction with Mozilla developer site, for the same purpose."
https://www.getty.edu/education/teachers/building_lessons/principles_design.pdf,Concise and simple description of the basic design principles.,"I will used this during the design and website making process, to make sure the website is aesthetically pleasing, to the end users."
https://www.w3.org/WAI/standards-guidelines/,"The W3C guideline for web accessibility.
","I will use this as a guideline to make my website more accessible to more users.
"
